<SIL>	1.0     SIL
<SPN>	1.0     SPN
<UNK>	1.0     UNK
A	1.0	AH
A'RONY	1.0	AE R AH N IY
A(2)	1.0	EY
AARON	1.0	EH R AH N
ABACK	1.0	AH B AE K
ABAFT	1.0	AE B AH F T
ABALONE	1.0	AE B AH L OW N IY
ABANDON	1.0	AH B AE N D AH N
ABANDONED	1.0	AH B AE N D AH N D
ABANDONING	1.0	AH B AE N D AH N IH NG
ABANDONMENT	1.0	AH B AE N D AH N M AH N T
ABASEMENT	1.0	AH B EY S M AH N T
ABASHED	1.0	AH B AE SH T
ABATED	1.0	AH B EY T IH D
ABATEMENT	1.0	AH B EY T M AH N T
ABATEMENTS	1.0	AH B EY T M AH N T S
ABATING	1.0	AH B EY T IH NG
ABBAYE	1.0	AE B EY
ABBE	1.0	AE B IY
ABBE'S	1.0	AE B IY Z
ABBE(2)	1.0	AE B EY
ABBEVILLE	1.0	AE B V IH L
ABBEY	1.0	AE B IY
ABBOT	1.0	AE B AH T
ABBOT'S	1.0	AE B AH TS
ABBREVIATE	1.0	AH B R IY V IY EY T
ABDALMALIK	1.0	AE B D AE L M AH L AH K
ABDICATED	1.0	AE B D AH K EY T AH D
ABDICATION	1.0	AE B D IH K EY SH AH N
ABDOLMUMEN	1.0	AE B D OW L M Y UW M AH N
ABDOMINAL	1.0	AE B D AA M AH N AH L
ABDOMINAL(2)	1.0	AH B D AA M AH N AH L
ABDUCT	1.0	AE B D AH K T
ABDUCTING	1.0	AE B D AH K T IH NG
ABDUCTING(2)	1.0	AH B D AH K T IH NG
ABDUCTIONS	1.0	AE B D AH K SH AH N Z
ABDUCTIONS(2)	1.0	AH B D AH K SH AH N Z
ABE	1.0	EY B
ABED	1.0	AH B EH D
ABEDARE	1.0	AH B IH D EH R
ABETTING	1.0	AH B EH T IH NG
ABHOR	1.0	AE B HH AO R
ABHORRED	1.0	AH B HH AO R D
ABHORRENCE	1.0	AH B HH AO R AH N S
ABHORRENT	1.0	AE B HH AO R AH N T
ABIDE	1.0	AH B AY D
ABIDING	1.0	AH B AY D IH NG
ABIGAIL	1.0	AE B AH G EY L
ABIGAIL'S	1.0	AE B AH G EY L Z
ABIJAH	1.0	AE B AH JH AH
ABILITIES	1.0	AH B IH L AH T IY Z
ABILITY	1.0	AH B IH L AH T IY
ABJECT	1.0	AE B JH EH K T
ABJECTLY	1.0	AE B JH EH K T L IY
ABJECTNESS	1.0	AE B JH EH K T N AH S
ABLAZE	1.0	AH B L EY Z
ABLE	1.0	EY B AH L
ABLEST	1.0	EY B AH L S T
ABLEST(2)	1.0	EY B L AH S T
ABLY	1.0	EY B L IY
ABNER	1.0	AE B N ER
ABNORMAL	1.0	AE B N AO R M AH L
ABNORMALITIES	1.0	AE B N AO R M AE L AH T IY Z
ABNORMALLY	1.0	AE B N AO R M AH L IY
ABNORMITIES	1.0	AE B N AO R M AH T AY Z
ABOARD	1.0	AH B AO R D
ABODE	1.0	AH B OW D
ABODES	1.0	AH B OW D Z
ABOLISH	1.0	AH B AA L IH SH
ABOLISHED	1.0	AH B AA L IH SH T
ABOLISHING	1.0	AH B AA L IH SH IH NG
