<SIL>	SIL
<SPN>	SPN
<UNK>   UNK
A	AH
A'RONY	AE R AH N IY
A(2)	EY
AARON	EH R AH N
ABACK	AH B AE K
ABAFT	AE B AH F T
ABALONE	AE B AH L OW N IY
ABANDON	AH B AE N D AH N
ABANDONED	AH B AE N D AH N D
ABANDONING	AH B AE N D AH N IH NG
ABANDONMENT	AH B AE N D AH N M AH N T
ABASEMENT	AH B EY S M AH N T
ABASHED	AH B AE SH T
ABATED	AH B EY T IH D
ABATEMENT	AH B EY T M AH N T
ABATEMENTS	AH B EY T M AH N T S
ABATING	AH B EY T IH NG
ABBAYE	AE B EY
ABBE	AE B IY
ABBE'S	AE B IY Z
ABBE(2)	AE B EY
ABBEVILLE	AE B V IH L
ABBEY	AE B IY
ABBOT	AE B AH T
ABBOT'S	AE B AH TS
ABBREVIATE	AH B R IY V IY EY T
ABDALMALIK	AE B D AE L M AH L AH K
ABDICATED	AE B D AH K EY T AH D
ABDICATION	AE B D IH K EY SH AH N
ABDOLMUMEN	AE B D OW L M Y UW M AH N
ABDOMINAL	AE B D AA M AH N AH L
ABDOMINAL(2)	AH B D AA M AH N AH L
ABDUCT	AE B D AH K T
ABDUCTING	AE B D AH K T IH NG
ABDUCTING(2)	AH B D AH K T IH NG
ABDUCTIONS	AE B D AH K SH AH N Z
ABDUCTIONS(2)	AH B D AH K SH AH N Z
ABE	EY B
ABED	AH B EH D
ABEDARE	AH B IH D EH R
ABETTING	AH B EH T IH NG
ABHOR	AE B HH AO R
ABHORRED	AH B HH AO R D
ABHORRENCE	AH B HH AO R AH N S
ABHORRENT	AE B HH AO R AH N T
ABIDE	AH B AY D
ABIDING	AH B AY D IH NG
ABIGAIL	AE B AH G EY L
ABIGAIL'S	AE B AH G EY L Z
ABIJAH	AE B AH JH AH
ABILITIES	AH B IH L AH T IY Z
ABILITY	AH B IH L AH T IY
ABJECT	AE B JH EH K T
ABJECTLY	AE B JH EH K T L IY
ABJECTNESS	AE B JH EH K T N AH S
ABLAZE	AH B L EY Z
ABLE	EY B AH L
ABLEST	EY B AH L S T
ABLEST(2)	EY B L AH S T
ABLY	EY B L IY
ABNER	AE B N ER
ABNORMAL	AE B N AO R M AH L
ABNORMALITIES	AE B N AO R M AE L AH T IY Z
ABNORMALLY	AE B N AO R M AH L IY
ABNORMITIES	AE B N AO R M AH T AY Z
ABOARD	AH B AO R D
ABODE	AH B OW D
ABODES	AH B OW D Z
ABOLISH	AH B AA L IH SH
ABOLISHED	AH B AA L IH SH T
ABOLISHING	AH B AA L IH SH IH NG
ABOLITION	AE B AH L IH SH AH N
ABOLITIONIST	AE B AH L IH SH AH N AH S T
ABOLITIONISTS	AE B AH L IH SH AH N AH S T S
ABOLITIONISTS(2)	AE B AH L IH SH AH N AH S
ABOMINABLE	AH B AA M AH N AH B AH L
ABOMINABLY	AE B AH M AH N AH B L IY
ABOMINATION	AH B AA M AH N EY SH AH N
ABOOT	AH B UW T
ABORIGINAL	AE B ER IH JH AH N AH L
ABORIGINALLY	AE B AH R IH JH AH N AH L IY
ABORIGINES	AE B ER IH JH AH N IY Z
ABORTIVE	AH B AO R T IH V
ABOU	AH B UW
ABOUND	AH B AW N D
ABOUNDED	AH B AW N D IH D
ABOUNDING	AH B AW N D IH NG
ABOUT	AH B AW T
ABOVE	AH B AH V
ABOVEMENTION'D	AH B AH V M AH N CH AH N D
ABRAHAM	EY B R AH HH AE M
ABRASION	AH B R EY ZH AH N
ABRASIONS	AH B R EY ZH AH N Z
ABREAST	AH B R EH S T
ABREK	AE B R AH K
ABREKS	AE B R AH K S
ABRIDGED	AH B R IH JH D
ABROAD	AH B R AO D
ABRONIA	AE B R OW N Y AH
ABRUPT	AH B R AH P T
ABRUPTLY	AH B R AH P T L IY
ABSALOM	AE B S AH L AH M
ABSALOMED	AE B S AH L OW M D
ABSCESSES	AE B S EH S IH Z
